Employee Identifier,Salaries,Other Salaries,Total Salary,Retirement,Health and Dental,Other Benefits,Total Benefits,Total Compensation
39220,45789.5,0,45789.5,9754.51,5980.67,3610.99,19346.17,65135.67
42764,57097.34,0,57097.34,11788.17,7547.61,4696.49,24032.27,81129.61
6399,101142.02,0,101142.02,19834.21,12918.24,8363.47,41115.92,142257.94
23315,97433.83,0,97433.83,19120.36,12903.3,7675.51,39699.17,137133
30858,65135.76,0,65135.76,11535.56,6937.57,5362.29,23835.42,88971.18
44142,32900.4,0,32900.4,6849.88,3731.94,2629.89,13211.71,46112.11
11320,123538.68,0,123538.68,23600.06,12918.24,9579.44,46097.74,169636.42
12803,29497.65,8923.65,38421.3,5224.04,2631.49,3108.62,10964.15,49385.45
29189,31539.92,0,31539.92,5585.72,2870.73,2597.24,11053.69,42593.61
30858,55699.4,0,55699.4,11596.61,5980.67,4175.27,21752.55,77451.95
9567,74535.37,0,74535.37,13746.27,7655.25,6153.52,27555.04,102090.41
45090,99682.1,0,99682.1,20095.34,7655.25,6947.27,34697.86,134379.96
53415,102025.11,0,102025.11,20004.17,12918.24,12746.77,45669.18,147694.29
10455,131136.08,0,131136.08,25069.52,12918.24,14343.92,52331.68,183467.76
26174,183970.4,0,183970.4,35190.37,12918.24,14754.89,62863.5,246833.9
56212,135247.41,0,135247.41,25771.87,12397.21,16273.82,54442.9,189690.31
704,150056.84,0,150056.84,28695.25,12918.24,16381.85,57995.34,208052.18
35327,218464.09,0,218464.09,41850.63,12918.24,11734.27,66503.14,284967.23
10777,110688.26,5895.46,116583.72,22440.04,11717.39,9449.49,43606.92,160190.64
12170,7582.4,23288.82,30871.22,1411.7,502.38,2418.14,4332.22,35203.44
13953,34221.12,0,34221.12,0,0,2720.58,2720.58,36941.7
14488,122042.91,11854.3,133897.21,25582.79,12918.24,9783.56,48284.59,182181.8
15619,22799.39,2279.94,25079.33,5218.23,2631.49,2058.97,9908.69,34988.02
16030,121791.15,11829.12,133620.27,25526.26,12894.32,9778.71,48199.29,181819.56
1614,119822.23,11812.72,131634.95,25148.37,12918.24,9743.97,47810.58,179445.53
16225,115037.97,6134.09,121172.06,23063.28,12393.98,9560.87,45018.13,166190.19
17280,0,15154.47,15154.47,0,7.59,1159.32,1166.91,16321.38
19482,122042.9,6519.8,128562.7,24561.53,12870.4,9690.21,47122.14,175684.84
19531,121625,2946.5,124571.5,23823.16,12918.24,9620.36,46361.76,170933.26
2050,0,10143.74,10143.74,0,0,776.26,776.26,10920
20880,122042.9,3005.91,125048.81,23939.25,12918.24,9628.72,46486.21,171535.02
20987,92353.5,5070.96,97424.46,18912.36,10429.09,8091.38,37432.83,134857.29
20993,67392.51,29334.55,96727.06,11935.24,6937.57,7750.78,26623.59,123350.65
21362,117500.8,6269.53,123770.33,23644.74,12918.24,9606.34,46169.32,169939.65
2166,67392.9,31505.5,98898.4,12557.57,6937.57,8006.51,27501.65,126400.05
2387,117500.8,11400.08,128900.88,24626.91,12918.24,9692.02,47237.17,176138.05
25515,116003.88,6187.19,122191.07,23353.52,12918.24,9578.44,45850.2,168041.27
26297,119734.35,6434.02,126168.37,24102.21,12918.24,9648.31,46668.76,172837.13
27095,122245.09,11855.35,134100.44,25618.78,12942.17,9757.54,48318.49,182418.93
28431,119734.35,6392.36,126126.71,24094.84,12918.24,9771.98,46785.06,172911.77
29556,35637.59,17901.11,53538.7,6880.56,3359.29,4342.58,14582.43,68121.13
30016,400.6,8518.86,8919.46,78.04,47.85,683.66,809.55,9729.01
30653,122042.9,6672.23,128715.13,24561.53,12918.24,9660.54,47140.31,175855.44
31513,6852.48,376.82,7229.3,0,0,574.73,574.73,7804.03
31867,112499.89,6083.02,118582.91,22586.24,12103.44,9515.56,44205.24,162788.15
32371,10974.8,603.52,11578.32,0,0,920.48,920.48,12498.8
34485,57609.93,3168.21,60778.14,11996.32,6736.63,5141.74,23874.69,84652.83
34570,4094.48,225.17,4319.65,0,0,343.41,343.41,4663.06
35881,117500.8,6269.54,123770.34,23644.74,12918.24,9606.34,46169.32,169939.66
36396,121387.1,6483.74,127870.84,24417.48,12846.48,9678.1,46942.06,174812.9
36774,11121.2,0,11121.2,0,0,884.13,884.13,12005.33
36940,119734.35,6392.36,126126.71,24094.84,12918.24,9647.58,46660.66,172787.37
37632,122211.69,6529.65,128741.34,24578.83,12945.82,9693.33,47217.98,175959.32
38127,4246,0,4246,751.97,478.45,370.14,1600.56,5846.56
38830,120043.95,11654.4,131698.35,25167.2,12918.24,9745.09,47830.53,179528.88
41917,116995.61,11365.8,128361.41,24531.38,12918.24,9654.35,47103.97,175465.38
41968,8695.4,0,8695.4,0,0,691.28,691.28,9386.68
42317,5722.5,2083.95,7806.45,1069.19,717.68,644.39,2431.26,10237.71
43777,20446.33,1124.37,21570.7,0,0,1714.87,1714.87,23285.57
44299,122042.9,3006.38,125049.28,23939.35,12918.24,9628.72,46486.31,171535.59
44769,121876.04,6638.25,128514.29,24524.34,12900.3,9667.74,47092.38,175606.67
45749,38905.71,2139.65,41045.36,8212.43,4489.1,3472.52,16174.05,57219.41
46957,122042.9,11854.29,133897.19,25582.78,12918.24,9751.23,48252.25,182149.44
